Serial Number,Title,Publication Year,Author/Organization,Link,PDF Title,"Review (1 = Updated on sheet, 2 = Found on Drive but not on sheet; 3 = Did not find on Drive)"
11,Behavioural Sciences for Better Health,2022,WHO,https://www.who.int/initiatives/behavioural-sciences,Behavioural sciences for better health initiative,
12,"Beliefs and practices regarding nutrition during pregnancy and lactation in a rural area in Karnataka, India: a qualitative study",2015,"Nisha Catherin, Rock B, Roger V, Ankita C, Ashish G, Delwin P, Deeepthi Shanbhag, Goud B",https://www.ijcmph.com/index.php/ijcmph/article/view/933/804,Beliefs and practices regarding nutrition during pregnancy and lactation in a rural area in Karnataka India_a qualitative study,
13,"Changes in food purchases after the Chilean policies on food labelling, marketing, and sales in schools: a before and after study",2021,"Lindsey Smith Taillie, Maxime Bercholz, Barry Popkin, Marcela Reyes, M Arantxa Colchero, Camila Corvalán",https://www.thelancet.com/action/showPdf?pii=S2542-5196%2821%2900172-8,"Changes in food purchases after the Chilean policies on food labelling, marketing, and sales in schools- a before and after study",
14,Child Marriage in the Middle East and North Africa,2017,UNICEF,https://www.icrw.org/wp-content/uploads/2018/04/Full-Report-FINAL.pdf,Child Marriage in the Middle East and North Africa,
15,Cluster Randomized Controlled Trial Evaluation of a Gender Equity and Family Planning Intervention for Married Men and Couples in Rural India,2016,"Anita Raj, Mohan Ghule, Julie Ritter, Madhusudana Battala, Velhal Gajanan, Saritha Nair, Anindita Dasgupta, Jay G. Silverman, Donta Balaiah, Niranjan Saggurti",https://pubmed.ncbi.nlm.nih.gov/27167981/,Cluster Randomized Controlled Trial Evaluation of a Gender Equity and Family Planning Intervention for Married Men and Couples in Rural India,
16,COVID-19 Vaccination Status and Hesitancy: Survey Evidence from Rural India,2022,CSBC,https://csbc.org.in/upload/COVID-19_Vaccination_Status_and_Hesitancy.pdf,COVID-19_Vaccination_Status_and_Hesitancy,
17,Descriptive social norms and motivation to vote: Everybody's voting and so should you,2009,"Alan S. Gerber, Todd Rogers",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=90957b24f77e24e053b7f26b94533753b246f069,Descriptive Social Norms and Motivation to Vote- Everybody’s Voting and so Should You,
18,Design for sustainable behaviour: Using products to change consumer behaviour,2011,"Tracy Bhamra, Debra Lilley, Tang Tang",https://www.researchgate.net/profile/Debra-Lilley/publication/233620661_Design_for_Sustainable_Behaviour_Using_Products_to_Change_Consumer_Behaviour/links/5adf0d420f7e9b285943ae55/Design-for-Sustainable-Behaviour-Using-Products-to-Change-Consumer-Behaviour.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D,DesignforSustainableBehaviour_Using Prodcuts to Change Consumer Behaviour,
19,Determining the Enablers and Barriers for the Adoption of Clean Cookstoves in the Middle Belt of Ghana—A Qualitative Study,2019,"Francis Agbokey, Rebecca Dwommoh, Theresa Tawiah, Kenneth Ayuurebobi Ae-Ngibise, Mohammed Nuhu Mujtaba, Daniel Carrion, Martha Ali Abdulai, Samuel Afari-Asiedu, Seth Owusu-Agyei, Kwaku Poku Asante, Darby W. Jack",https://www.mdpi.com/1660-4601/16/7/1207,Determining the Enablers and Barriers for the Adoption of Clean Cookstoves in the Middle Belt of Ghana—A Qualitative Study,
20,EAST: Four Simple Ways to Apply Behavioural Insights,2014,BIT,https://www.bi.team/publications/east-four-simple-ways-to-apply-behavioural-insights/,EAST- Four Simple Ways to Apply Behavioural Insights,
21,Effect of a behaviour-change intervention on handwashing with soap in India (SuperAmma): a cluster-randomised trial,2014,"Adam Biran, Wolf-Peter Schmidt, Kiruba Sankar Varadharajan, Divya Rajaraman, Raja Kumar, Katie Greenland, Balaji Gopalan, Robert Aunger, Val Curtis",https://pubmed.ncbi.nlm.nih.gov/25102847/,Effect of a behaviour-change intervention on handwashing,
22,Effect of improved WASH in schools on Girls’ Educational Outcomes,2022,UNICEF,https://www.unicef.org/india/reports/effect-improved-wash-schools-girls-educational-outcomes,Effect of improved WASH in schools on Girls’ Educational Outcomes Volume 1,
23,Effect of improved WASH in schools on Girls’ Educational Outcomes,2022,UNICEF,https://www.unicef.org/india/reports/effect-improved-wash-schools-girls-educational-outcomes,Effect of improved WASH in schools on Girls’ Educational Outcomes Volume 2,
24,Effectiveness of interventions to promote healthy diet in primary care: systematic review and meta-analysis of randomised controlled trials,2013,"Nawaraj Bhattarai, A Toby Prevost, Alison J Wright, Judith Charlton, Caroline Rudisill, Martin C Gulliford ",https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-13-1203,Effectiveness of interventions to promote healthy diet in primary care systematic review and meta-analysis of randomised controlled trials,
25,Electric vehicle adoption: An analysis of best practice and pitfalls for policy making from experiences of Europe and the US,2017,"Gail Helen Broadbent, Danielle Drozdzewski, Graciela Metternicht",https://www.aph.gov.au/DocumentStore.ashx?id=fd78bba5-f6d6-4ebc-9801-2da7931031d4&subId=613454,Electric vehicle adoption An analysis of best practice and pitfalls for policy making from experiences of Europe and the US,
26,Free riding or discounted riding? How the framing of  a bike share offer impacts offer-redemption,2019,Elspeth Kirkman,https://journal-bpa.org/index.php/jbpa/article/view/83,Free riding or discounted riding_How the framing of a bike share offer impacts offer-redemption,
27,How Savlon and Ogilvy taught hygiene lesson to kids through chalk sticks,2017,Saumya Tewari,https://www.livemint.com/Consumer/AIYmFPeBACEzW1uT3fDFiO/How-Savlon-and-Ogilvy-taught-hygiene-lesson-to-kids-through.html,How Savlon and Ogilvy taught hygiene lesson to kids through chalk sticks,
28,How to reduce food waste using three low-cost nudges,2023,BIT,https://www.bi.team/publications/how-to-reduce-food-waste-using-three-low-cost-nudges/,How to reduce food waste using three low-cost nudges,
29,Human Development Report,2022,UNDP,https://hdr.undp.org/system/files/documents/global-report-document/hdr2021-22pdf_1.pdf,Human Development Report 2021-22,
30,Identifying Determinants of Toilet Usage by Poor in Urban India,2017,"Surya AV, Archna Vyas, Madhu Krishna, Naseem Abidi",https://www.sciencedirect.com/science/article/pii/S1877050917326625,Identifying Determinants of Toilet Usage by Poor in Urban India,
31,Microfinance Handbook: An Institutional and Financial Perspective,2011,World Bank Group,https://issuu.com/world.bank.publications/docs/9780821343067,Microfinance Handbook,
32,MINDSPACE: influencing behaviour for public policy,NA,UK Cabinet Office,https://www.instituteforgovernment.org.uk/sites/default/files/publications/MINDSPACE.pdf,MINDSPACE_Influencing behaviour through public policy,
33,Stories of Change,2022,"NITI Aayog, CSBC",https://www.niti.gov.in/sites/default/files/2022-04/Stories_of_Change_2022_1.pdf,NITI Stories of Change,
34,Nudging to reduce meat consumption: Immediate and persistent effects of an intervention at a university restaurant,2017,Verena Kurz,https://gupea.ub.gu.se/bitstream/handle/2077/54288/gupea_2077_54288_4.pdf?sequence=4&isAllowed=y,Nudging to reduce meat consumption- Immediate and persistent effects of an intervention at a university restaurant,
35,Nudging Youth to Develop Savings Habits: Experimental Evidence Using SMS Messages,2016,"Catherine Rodríguez, Juan E. Saavedra",https://openscholarship.wustl.edu/cgi/viewcontent.cgi?article=1667&context=csd_research,Nudging Youth to Develop Savings Habits Experimental Evidence Using SMS Messages,
36,Piloting Improved Cookstoves in India,2015,"Jessica J. Lewis, Vasundhara Bhojvaid, Nina Brooks, Ipsita Das, Marc A. Jeuland, Omkar Patange, Subhrendu K. Pattanayak",https://www.tandfonline.com/doi/pdf/10.1080/10810730.2014.994243?needAccess=true,Piloting Improved Cookstoves in India,
37,Promoting Mobility Behaviour Change,2019,Walk21 Foundation,https://ec.europa.eu/futurium/en/system/files/ged/promoting_behaviour_change.pdf,Promoting Mobility Behaviour Change,
38,Quantifying the potential for climate change mitigation of consumption options,2020,"Diana Ivanova, John Barrett, Dominik Wiedenhofer, Biljana Macura, Max Callaghan, Felix Creutzig",https://iopscience.iop.org/article/10.1088/1748-9326/ab8589/pdf,Quantifying the potential for climate change mitigation of consumption options,
39,Quantifying the potential for climate change mitigation of consumption options,2020,"Diana Ivanova, John Barrett, Dominik Wiedenhofer, Biljana Macura, Max Callaghan, Felix Creutzig",https://iopscience.iop.org/article/10.1088/1748-9326/ab8589/pdf,Quantifying the potential for climate change mitigation of consumption options,
40,Reducing Parent-School Information Gaps and Improving Education Outcomes: Evidence from High-Frequency Text Messages,2021,"Samuel Berlinski, Matias Busso, Taryn Dinkelman, Claudia Martínez A.",https://www.nber.org/papers/w28581,Reducing Parent-School Information Gaps and Improving Education Outcomes Evidence from High-Frequency Text Messages,
41,Save More Tomorrow: Using Behavioral Economics to Increase Employee Saving,2004,"Richard H. Thaler, Shlomo Benartz",https://www.anderson.ucla.edu/documents/areas/fac/accounting/save_more_tomorrow.pdf,Save More Tomorrow- Using Behavioral Economics to Increase Employee Saving,
42,Saving water at Cape Town schools by using smart metering and behavioral change,2020,"Martine Visser, M.J. Booysen, Johanna M. Brühl, Kenneth J. Berger",https://www.sciencedirect.com/science/article/abs/pii/S2212428420300190,Saving water at Cape Town schools by using smart metering and behavioural change,
43,Saving water at Cape Town schools by using smart metering and behavioral change,2020,"Martine Visser, M.J. Booysen, Johanna M. Brühl, Kenneth J. Berger",https://www.sciencedirect.com/science/article/abs/pii/S2212428420300190,Saving water at Cape Town schools by using smart metering and behavioural change,
44,"Shifting Household Energy Use in Bangalore, India: Using Behaviorally Informed Energy Reports",2022,"Mindy Hernandez, Kiran Bhagavatula, Santhosh Cibi, Ravichandran K, Sumathy Krishnan, Sumedha Malaviya, Bharath Jairaj",https://www.wri.org/research/shifting-household-energy-use-bangalore-india-using-behaviorally-informed-energy-reports,shifting-household-energy-use-bangalore-india,
45,Should Governments Invest More in Nudging?,2017,"Shlomo Benartzi, John Beshears, Katherine L. Milkman, Cass R. Sunstein, Richard H. Thaler, Maya Shankar, Will Tucker-Ray, William J. Congdon, Steven Galing",https://journals.sagepub.com/doi/pdf/10.1177/0956797617702501,Should Governments Invest More in,
45,Should Governments Invest More in Nudging?,2017,"Shlomo Benartzi, John Beshears, Katherine L. Milkman, Cass R. Sunstein, Richard H. Thaler, Maya Shankar, Will Tucker-Ray, William J. Congdon, Steven Galing",https://journals.sagepub.com/doi/pdf/10.1177/0956797617702501,Should Governments Invest More in Nudging_,
46,Socio-cultural and behavioural factors constraining latrine adoption in rural coastal Odisha: an exploratory qualitative study,2015,"Parimita Routray, Wolf-Peter Schmidt, Sophie Boisson, Thomas Clasen, Marion W. Jenkins",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4566293/,Socio-cultural and behavioural factors constraining latrine adoption in rural coastal Odisha_an exploratory qualitative study,
47,Solutions in Focus Sustainable Fisheries and Aquaculture,2018,Blue Solutions,https://portals.iucn.org/library/sites/library/files/documents/2018-033-En.pdf,Solutions in Focus Sustainable Fisheries and Aquaculture,
48,The behaviour change wheel: A new method for characterising and designing behaviour change interventions,2011,"Susan Michie, Maartje M van Stralen, Robert West ",https://implementationscience.biomedcentral.com/articles/10.1186/1748-5908-6-42,The behaviour change wheel_A new method for characterising and designing behaviour change interventions,
49,"The Ciclovia and Cicloruta Programs: Promising Interventions to Promote Physical Activity and Social Capital in Bogotá, Colombia",2012,"Andrea Torres, Olga L. Sarmiento, Christine Stauber, Roberto Zarama",https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2012.301142,"The Ciclovia and Cicloruta Programs Promising Interventions to Promote Physical Activity and Social Capital in Bogota, Colombia",
50,The framing of decisions and the psychology of choice,1981,"Amos Tversky, Daniel Kahneman",https://www.science.org/doi/10.1126/science.7455683,The framing of decisions and the psychology of choice,
51,The State of Food Security and Nutrition in the World,2021,FAO,https://www.fao.org/3/cb4474en/cb4474en.pdf,The State of Food Security and Nutrion in the World,
52,Theories and techniques of behaviour change: Developing a cumulative science of behaviour change,2012,"Susan Michie, Marie Johnston",https://www.researchgate.net/publication/254294801_Theories_and_techniques_of_behaviour_change_Developing_a_cumulative_science_of_behaviour_change,Theories and techniques of behaviour change Developing a cumulative science of behaviour change,
53,Theories of behaviour and behaviour change across the social and behavioural sciences: a scoping review,2015,"Rachel Davis, Rona Campbell, Zoe Hildon, Lorna Hobbs, Susan Michie",https://pubmed.ncbi.nlm.nih.gov/25104107/,Theories of behaviour and behaviour change across the social and behavioural sciences_a scoping review,
54,"Understanding Contraception Use among Muslims of India, Pakistan and Bangladesh",2007,"Usha Ram, LaxmiKant Dwivedi, Baishali Goswami",https://so03.tci-thaijo.org/index.php/jpss/article/view/84589,"Understanding Contraception Use among Muslims of India, Pakistan and Bangladesh",
55,UNICEF Fact Sheet Children with Disabilities,2022,UNICEF,https://www.unicef.org/media/128976/file/UNICEF%20Fact%20Sheet%20:%20Children%20with%20Disabilities.pdf,UNICEF Fact Sheet Children with Disabilities,
56,Using implementation intentions prompts to enhance influenza vaccination rates,2011,"Katherine L. Milkman, John Beshears, James J. Choi, and Brigitte C. Madrian",https://www.pnas.org/doi/10.1073/pnas.1103170108,Using implementation intentions prompts to enhance influenza vaccination rates,
57,Washing with hope: evidence of improved handwashing among children in South Africa from a pilot study of a novel soap technology,2018,"Justine Burns, Brendan Maughan-Brown, Âurea Mouzinho ",https://link.springer.com/article/10.1186/s12889-018-5573-8,Washing with hope,
58,World Bank Support to Reducing Child Undernutrition An Independent Evaluation,2021,World Bank,https://ieg.worldbankgroup.org/sites/default/files/Data/Evaluation/files/Undernutrition.pdf,World Bank Support to Reducing Child Undernutrition An Independent Evaluation,
59,First Is Best,2012,"Dana R. Carney, Mahzarin R. Banaji",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035088,_.pdf,
60,What is a habit? Diverse mechanisms that can produce sustained behavior change,2020,"Kevin G. Volpp, George Loewenstein",https://www.sciencedirect.com/science/article/pii/S0749597820303885,1-s2.0-S0749597820303885-main.pdf,
61,Design-Led Intervention to Reduce Sedentary Behavior in Young People,2022,"Hyunjae Daniel Shin, Florence Nwankwo, Amin Al-Habaibeh",https://www.sciencedirect.com/science/article/pii/S2405872622000491,1-s2.0-S2405872622000491-main.pdf,
62,"Awareness, perceptions, and choices of physicians pertaining to human papillomavirus (HPV) vaccination in India: A formative research study",2022,"Ishu Kataria, Mariam Siddiqui, Katherine Treiman, Shaylen Foley, Meenu Anand, Sutapa Biswas, Digant Shastri, Neerja Bhatla, Diksha Radhakrishnan, Pavan Mamidi, Rengaswamy Sankaranarayanan",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617192/,1-s2.0-S2590136222000882-main.pdf,
63,Playbook for Guiding Diners Toward Plant-Rich Dishes in Food Service,2020,WRI,https://www.wri.org/research/playbook-guiding-diners-toward-plant-rich-dishes-food-service,19_Report_Playbook_Plant-Rich_Diets_final.pdf,
64,Design For Behavior Change: A Model-driven Approach for Tailoring Persuasive Technololgies,2014,Rita O. Orji,https://harvest.usask.ca/handle/10388/ETD-2014-06-1555,226165075.pdf,
65,A Field Experiment on the Impact of Incentives on Milk Choice in the Lunchroom,2016,"John A. List, Anya Samek",https://journals.sagepub.com/doi/10.1177/1091142115602061,A Field Experiment on the Impact of Incentives.pdf,
66,Assessing the Viability of Using Autorickshaws for Urban Freight Delivery in India,2023,WRI,https://www.wri.org/research/assessing-viability-using-autorickshaws-urban-freight-delivery-india,assessing-viability-autorickshaws-urban-freight-delivery-india.pdf,
67,Behaviour Change in Public Policy,2022,"NITI Aayog, CSBC",https://csbc.org.in/images/niti/download/Behavior-Change-Report.pdf,Behavior-Change-Report.pdf,
68,Can we cut out the meat of the dish? Constructing consumer-oriented pathways toward meat substitution,2012,"Schösler, H.; de Boer, J.; Boersema, J.J.",https://www.sciencedirect.com/science/article/abs/pii/S0195666311005770,Can we cut out the meat of the dish.pdf,
69,"Climate policy through changing consumption choices: Options and obstacles for reducing greenhouse gas emissions",2014,"Bastien Girod, Detlef Peter van Vuuren, Edgar G. Hertwich",https://www.sciencedirect.com/science/article/abs/pii/S0959378014000077,Climate policy through changing consumption choices.pdf,
70,COVID-19 Vaccination Status and Hesitancy: Survey Evidence from Rural India,2022,CSBC,https://csbc.org.in/upload/covid-19_vaccination_status_and_hesitancy_csbc_manuscript.pdf,COVID-19_Vaccination_Status_and_Hesitancy.pdf,
71,COVID-19 Vaccine Hesitancy in India: Evidence Review of Behavioural Barriers,2021,CSBC,https://csbc.org.in/images/resources/COVID-19_Vaccine-_Hesitancy.pdf,COVID-19_Vaccine-_Hesitancy.pdf,
72,"Creating Stealth Game Interventions for Attitude and Behavior Change: An ""Embedded Design"" Model",2016,"Geoff Kaufman, Mary Flanagan, Max Seidman",https://www.researchgate.net/publication/319995249_Creating_Stealth_Game_Interventions_for_Attitude_and_Behavior_Change_An_Embedded_Design_Model,Creating_Stealth_Game_Interventions_for_Attitude_a.pdf,
73,COVID-19 Communication Handbook,2020,CSBC,https://csbc.org.in/images/resources/FINAL_CSBC-COVID-19-Communication-Handbook-09072020.pdf,CSBC-COVID-19-Communication-Handbook.pdf,
74,Climate–Poverty Connections: Opportunities for Synergistic Solutions at the Intersection of Planetary and Human Well-Being,2022,Project Drawdown,"https://drawdown.org/publications/climatepoverty-connections-report#:~:text=Climate%E2%80%93Poverty%20Connections%3A%20Opportunities%20for,for%20rural%20communities%20in%20sub%2D",Drawdown Lift_Climate Poverty Connections Report_March 2022.2.pdf,
75,Girls’ Education and Family Planning: Essential Components of Climate Adaptation and Resilience,2021,Project Drawdown,https://drawdown.org/publications/drawdown-lift-policy-brief-girls-education-and-family-planning,Drawdown_Lift_Policy_Brief_Girls_Education_122121.pdf,
76,Drawdown's Health and Education Solution: The Cascading Benefits of Access to Universal Education and Voluntary Family Planning,2022,Project Drawdown,https://drawdown.org/publications/drawdown-solutions-policy-brief-health-and-education-solution,Drawdown-Solutions-Policy-Brief-Health-and-Education.pdf,
77,"Design, behaviour change and the Design with Intent toolkit: Theories and Practices of Designing for Change",2017,Dan Lockton,https://www.researchgate.net/publication/329646088_Design_behaviour_change_and_the_Design_with_Intent_toolkit_Theories_and_Practices_of_Designing_for_Change,DwI-chapter-OA-version.pdf,
78,Emissions Gap Report 2020,2020,UNEP,https://www.unep.org/emissions-gap-report-2020,EGR20.pdf,
79,"Emissions Gap Report 2022",2022,UNEP,https://www.unep.org/resources/emissions-gap-report-2022,EGR2022.pdf,
80,"Financial Uncertainty, Worker Productivity and Savings Decisions: Experimental Evidence from India",2021,CSBC,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3975561,Financial_Uncertainty.pdf,
81,First Is Best,2012,"Dana R. Carney, Mahzarin R. Banaji",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0035088,First Is Best.pdf,
82,How can the EU climate targets be met? A combined analysis of technological and demand-side changes in food and agriculture,2016,"David Bryngelsson, Stefan Wirsenius, Fredrik Hedenus, Ulf Sonesson",https://www.sciencedirect.com/science/article/pii/S0306919216000129,food and agriculture.pdf,
83,"Food choices, health and environment: Effects of cutting Europe’s meat and dairy intake",2014,"Henk Westhoek, Jan Peter Lesschen, Trudy Rood, Susanne Wagner, Alessandra De Marco, Donal Murphy-Bokern, Adrian Leip, Hans van Grinsven, Mark A. Sutton, Oene Oenema",https://www.sciencedirect.com/science/article/pii/S0959378014000338,"Food choices, health and environment Effects of cutting.pdf",
84,Food Labeling and Eco-Friendly Consumption: Experimental Evidence From a Belgian Supermarket,2014,"Pieter Vlaeminck, Ting Jiang, iesbet Vranken",https://www.sciencedirect.com/science/article/abs/pii/S0921800914003309,Food Labeling and Eco-Friendly Consumption Experimental.pdf,
85,"Double Jab: Survey Evidence on Vaccine Hesitancy, Beliefs, and Attitudes in India",2022,"Anirudh Tagat, Hansika Kapoor, Varun Arora, Sujoy Chakravarty, Shagata Mukherjee, Shubhabrata Roy",https://pubmed.ncbi.nlm.nih.gov/35067105/,HealthComm_preprint.pdf,
86,"Opportunities to achieve healthy, sustainable food choices in China through behavior change",2023,WRI,https://www.wri.org/research/healthy-sustainable-food-choices-china-behavior-change,healthy-sustainable-food-choices-china.pdf,
87,"Immorality-aversion, altruism, and occupation choice between the public and private sectors: Theory and evidence",2022,CSBC,https://csbc.org.in/upload/Immorality-aversion_WP.pdf,Immorality-aversion_WP.pdf,
88,Jal Jeevan Mission: Communications Guidelines,2022,CSBC,https://csbc.org.in/upload/JJM-Comms-Guidelines.pdf,Jal-Jeevan-Mission-Comms-Guidelines.pdf,
89,Jal Jeevan Mission: Behavioural Diagnostic Report,2022,CSBC,https://csbc.org.in/upload/Jal-Jeevan-Mission-Diagnostic_Report_Final.pdf,Jal-Jeevan-Mission-Diagnostic_Report_Final.pdf,
90,Starting Conversations to Tackle Sanitation in India Through TV Drama,2022,"Thomas Newton-Lewis, Rishika Das, Varinder Gambhir, Anna Godfrey",https://www.researchgate.net/publication/357534782_Starting_Conversations_to_Tackle_Sanitation_in_India_Through_TV_Drama?enrichId=rgreq-ed1f54f80974efa6240aa97e4eb42e7d-XXX&enrichSource=Y292ZXJQYWdlOzM1NzUzNDc4MjtBUzoxMTQzMTI4MTA4MDkwNDI2MEAxNjYxNDIzNjQzMjE1&el=1_x_3&_esc=publicationCoverPdf,JDC.pdf,
91,"Judges in the Lab: No Precedent Effects, No Common/Civil Law Differences",2021,"Holger Spamann, Lars Klohn, Christophe Jamin, Vikramaditya Khanna, John Zhuang Liu, Pavan Mamidik, Alexander Morell and Ivan Reidel",https://academic.oup.com/jla/article/13/1/110/6180994,laaa008.pdf,
92,Social Norms Programming in South Asia,2022,CSBC,https://csbc.org.in/images/resources/SASNLC_Landscape%20Analysis_January2022.pdf,Landscape Analysis of Social Norms Programming In South Asia_Jan2022.pdf,
93,"Learnings for Tamil Nadu From Grid-Connected Agricultural Solar Photovoltaic Schemes in India",2022,WRI,https://www.wri.org/research/learnings-tamil-nadu-grid-connected-agricultural-solar-photovoltaic-schemes-india,learnings-tamil-nadu-grid-connected-agricultural-solar-pv-schemes-india.pdf,
94,Making Food Waste Socially Unacceptable: What Behavioral Science Tells Us About Shifting Social Norms to Reduce Household Food Waste,2022,WRI,https://www.wri.org/research/making-food-waste-socially-unacceptable,making-food-waste-socially-unacceptable.pdf,
95,Turning opposition into support to immigration: The role of narratives,2021,"Cristina Cattaneo, Daniela Grieco",https://www.sciencedirect.com/science/article/abs/pii/S0167268121003516,PAP_depositato_norma_April_2020.pdf,
96,Citizens from 13 countries share similar preferences for COVID-19 vaccine allocation priorities,2021,"Raymond Duch, Laurence S. J. Roope, Mara Violato, Philip M. Clarke",https://www.pnas.org/doi/10.1073/pnas.2026382118,pnas.2026382118.pdf,
97,Behavioural Diagnostic Report on Practices of Early Initiation and Exclusive Breastfeeding in districts of Uttar Pradesh,2023,CSBC,https://csbc.org.in/images/EBF-Behavioural-Diagnostic-Report-July2022.pdf,Practices of Early Initiation and Exclusive Breastfeeding in distrcits of Uttar Pradesh-Jul2022.pdf,
98,Overall Narrative on the HPV Vaccine Project,2021,CSBC,https://csbc.org.in/images/resources/HPV_V11.pdf,Reducing physician hesitancy in recommending HPV Vaccine to adolescent girls.pdf,
99,"Religious Identity, Trust, Reciprocity, and Prosociality: Theory and Evidence",2023,CSBC,https://csbc.org.in/upload/Religious-Identity-Trust-Reciprocity-and-Prosociality_heory-and-Evidence.pdf,Religious-Identity-Trust-Reciprocity-and-Prosociality_heory-and-Evidence.pdf,
100,"Scoping User-led Water Behaviours under the Jal Jeevan Mission in Gujarat, India",2022,CSBC,https://csbc.org.in/images/Scoping-User-led-Water-Behaviours-under-the-Jal-Jeevan-Mission-in-Gujarat-India.pdf,"Scoping_User-led_Water_Behaviours_under_the_Jal_Jeevan_Mission_in_Gujarat,_India.pdf",
101,"Secondhand Shopping: Understanding Consumer Behavior toward Pre-owned Clothing in India",2021,WRI,https://www.wri.org/research/secondhand-shopping-understanding-consumer-behavior-toward-pre-owned-clothing-india,secondhand-shopping-understanding-consumer-behavior-toward-pre-owned-clothing-india.pdf,
102,"Shifting Diets for a Sustainable Food Future: Creating a Sustainable Food Future, Installment Eleven",2016,WRI,https://www.wri.org/research/shifting-diets-sustainable-food-future,Shifting_Diets_for_a_Sustainable_Food_Future_1.pdf,
103,Smart Charging and Consumer Behavior in the United States,2022,WRI,https://www.wri.org/research/smart-charging-consumer-behavior-united-states,smart-charging-consumer-behavior-united-states.pdf,
104,Social Norms and Energy Conservation,2009,Hunt Allcott,https://www.sciencedirect.com/science/article/abs/pii/S00472727110004788,Social Norms and Energy Conservation.pdf,
105,Social Norms Surrounding COVID-19 Protective Behaviours,2021,CSBC,https://csbc.org.in/images/resources/Social-Norms-Surrounding-COVID-19-Protective-Behaviours_digital-report.pdf,Social-Norms-Surrounding-COVID-19-Protective-Behaviours_digital-report.pdf,
106,State of Climate Action 2022,2022,WRI,https://www.wri.org/research/state-climate-action-2022,state-of-climate-action-2022.pdf,
107,Stories from the Living Lab,2018,WRI,https://www.wri.org/sustainability-wri/stories-living-lab,stories-from-living-lab-2017-2018_0.pdf,
